place_id,name,author_name,rating,sentence_text,sentence_sentiment,confidenceScores.positive,confidenceScores.neutral,confidenceScores.negative
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,Absolutely enjoyed everything! ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"The waitress was amazing, happy, and so encouraging with my mother in law, considering it was her first time having Vietnamese food. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,We enjoyed and ate all of it! ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,And it was a lot! ,negative,0.34,0.22,0.44
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,"So good, in fact, I put the bowl up to my mouth, lol! ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Melinda Capparelli,5,So worth it!!!,positive,0.99,0.01,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,Cute little place. ,positive,0.98,0.01,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,Service was great. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"The prices are a bit high, but portions are big and for a single individual could make several meals, so overall good rating. ",positive,0.96,0.04,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,"I ordered vegan fried rice and vegan mei fun, both are excellent! ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,N B,4,I would recommend!,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,This restaurant is something…,neutral,0.04,0.85,0.11
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,trust me you won’t regret it. ,positive,0.97,0.03,0.01
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,We have been to this restaurant couple of times and didn’t disappoint us. ,positive,0.86,0.04,0.1
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Taking from food to service is fast and better than another similar restaurants around Syracuse.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,Food is delicious (mild) and well cooked. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,They have many dishes that comes with your choice of meat chicken beef vegetarian and vegan as well. ,neutral,0.0,1.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Just let you clarify the portion is great - like really good enough for one person, prices are decent and big menu.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Went there with family first time and ordered many dishes, all of them were wonderful and came with extra sauces. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Meet Danny there very interesting guy from Vietnam and knows a lot about it 😇, very professional and knowledgeable about the food and sarcastic.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,Highly recommend this place and must try all dishes 😇😁,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,This place is fantastic. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,I ordered chicken pho and it was stellar. ,positive,0.73,0.16,0.11
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,"Service was excellent, they accommodated our large party without issue right away and were very attentive. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,I will definitely be eating here again.,positive,0.68,0.25,0.07
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,This was a real treat for me. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,I was in the area for a Dr's appointment and it was my first time in town. ,neutral,0.05,0.94,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,After the appointment I needed something mild for my stomach. ,neutral,0.1,0.61,0.29
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,"I found this place on Google, stopped in to check out the menu, and ordered some Chicken Pho. ",neutral,0.01,0.99,0.01
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,It was super tasty and available as gluten free. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,"The woman who waited on my was very nice and checked in on me several times, which I appreciated very much. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,The bonus was some vintage music playing which seemed very relaxing to me after a stressful morning and mid-day. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Chris S,5,THANK YOU!,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,In the area for business travel and like to try new places. ,positive,0.52,0.47,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,"Very pleasant atmosphere, clean and quiet. ",positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,The wait staff was very friendly and helpful. ,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Ordered the spring rolls and pho.  ,neutral,0.01,0.97,0.02
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,It was prepared quickly and tasted delicious. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,I only gave 4 stars on the food since some of the noodles were clumped together but overall taste was good. ,positive,0.98,0.0,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Note that the price is higher when paying with credit card. ,neutral,0.0,0.99,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,This is noted very clearly on the menu. ,negative,0.0,0.45,0.55
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,Also they added a 15% tip. ,neutral,0.0,0.99,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Steve Plaskon,4,I will Vito again and recommend.,positive,0.99,0.01,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Culturetravel,5,"Authentic Vietnamese food, attentive friendly service. ",positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Culturetravel,5,Excellent Vietnamese coffees.,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,I love this place. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The food is great and it’s a simple ma and pa place. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The pho is outstanding! ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,( if you’re really hungry you can get extra noodles for $1) ,neutral,0.02,0.5,0.47
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,I always get the spring rolls because they are super fresh. ,positive,0.96,0.04,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,The raw beef w tumerum is excellent. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,John Elmer,5,We got the fish today ( see pic) and it was tasty.,positive,0.98,0.02,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,isaiah archie,5,Highly recommended Gem (first time trying) Curry chicken was 10/10 and so was the Pho,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,I got the Bun Bi Cha Gio Nem and I love the fried egg roll and meatballs. ,positive,1.0,0.0,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,Maybe the egg rolls had taro inside which made it taste better 🤷. ,positive,0.94,0.04,0.02
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,"I forgot how long it took me to get my food, but it wasn’t long and the waiters always smiled when there was eye contact 😂. 15% gratitude is included in the bill and paying with cash cost less. ",positive,0.96,0.03,0.01
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,That’s my experience. ,neutral,0.07,0.92,0.0
ChIJXzHY70ny2YkRMytGWVnP-I0,New Century,Andy Zheng,5,I’m coming back for pho.,neutral,0.02,0.98,0.0
